NAME,TotalPop,White_NonHisp,Black,Asian,Hispanic,MedianIncome,BelowPoverty,BachelorsOrHigher,Male_Under18,Female_Under18,Male_18_34,Female_18_34,Male_35_64,Female_35_64,Male_65plus,Female_65plus,LaborForce,Unemployed,NoHealthInsurance,MedianRent,STATE,COUNTY,TRACT,TRACT_FIPS,Age_Under18,Age_18_34,Age_35_64,Age_65plus,Pct_Black,Pct_Hispanic,Pct_Asian,Pct_WhiteNonHisp,Pct_BelowPoverty,Pct_BachelorsPlus,Pct_Unemployed,Pct_Uninsured
Census Tract 101; Cook County; Illinois,3726,1297,1376,137,809,69460,508,775,88,41,52,141,128,46,108,56,2579,260,130,1252,17,31,10100,17031010100,129,193,174,164,36.9296833064949,21.712292002147073,3.676865271068169,34.80944712828771,13.633923778851315,20.799785292538918,10.081426909654905,3.4889962426194314
Census Tract 102.01; Cook County; Illinois,7588,1406,2301,376,2622,49639,1892,684,455,353,43,62,161,317,143,119,4007,317,40,1333,17,31,10201,17031010201,808,105,478,262,30.32419609910385,34.554559831312595,4.955192409066948,18.52925672113864,24.934106483921983,9.014232999472851,7.911155477913651,0.5271481286241434
Census Tract 102.02; Cook County; Illinois,2609,967,949,212,423,55119,524,656,9,32,48,0,43,90,24,31,1449,135,36,1292,17,31,10202,17031010202,41,48,133,55,36.37408968953622,16.21310847067842,8.125718666155615,37.06400919892679,20.08432349559218,25.143733231123033,9.316770186335404,1.3798390187811422
Census Tract 103; Cook County; Illinois,6311,3094,1298,342,1426,65871,431,1585,148,25,33,35,53,179,26,84,3923,166,0,1257,17,31,10300,17031010300,173,68,232,110,20.567263508160355,22.595468230074474,5.419109491364284,49.025511012517825,6.829345587070194,25.114878783077167,4.231455518735661,0.0
Census Tract 104; Cook County; Illinois,4282,3173,296,324,340,49017,463,999,25,43,358,688,91,100,83,18,2282,78,16,1248,17,31,10400,17031010400,68,1046,191,101,6.912657636618402,7.940214852872489,7.5665576833255495,74.10088743577768,10.812704343764596,23.330219523587107,3.4180543382997373,0.37365716954694067
Census Tract 105.01; Cook County; Illinois,3519,2217,642,244,331,48250,392,1157,15,134,23,17,16,87,0,16,2576,191,0,1176,17,31,10501,17031010501,149,40,103,16,18.243819266837168,9.406081273088946,6.933788007956807,63.00085251491902,11.139528275078147,32.87865870986076,7.414596273291925,0.0
Census Tract 105.02; Cook County; Illinois,3329,2109,445,120,354,61367,608,770,36,34,27,112,93,228,0,15,2229,188,11,1311,17,31,10502,17031010502,70,139,321,15,13.367377590868129,10.63382397116251,3.6046860919194956,63.35235806548513,18.263742865725444,23.130069089816764,8.434275459847465,0.33042955842595373
Census Tract 105.03; Cook County; Illinois,2844,1788,509,299,85,21924,1335,350,32,47,0,50,193,224,127,57,1450,41,0,1122,17,31,10503,17031010503,79,50,417,184,17.897327707454288,2.988748241912799,10.513361462728552,62.869198312236286,46.94092827004219,12.306610407876232,2.8275862068965516,0.0
Census Tract 106; Cook County; Illinois,6708,3638,1121,258,1272,71920,1163,1843,60,126,0,264,235,137,46,91,4253,115,41,1276,17,31,10600,17031010600,186,264,372,137,16.71138938580799,18.962432915921287,3.8461538461538463,54.23375074537865,17.337507453786525,27.474657125819917,2.703973665647778,0.6112104949314251
Census Tract 107.01; Cook County; Illinois,3573,1261,855,278,1036,74208,296,1047,29,161,73,26,32,43,2,48,2281,69,40,1338,17,31,10701,17031010701,190,99,75,50,23.929471032745592,28.99524209347887,7.780576546319619,35.292471312622446,8.284354883851105,29.303106633081445,3.024989039894783,1.119507416736636
Census Tract 107.02; Cook County; Illinois,5166,1156,1978,54,1776,58289,983,958,381,151,36,70,73,143,28,0,2790,224,45,1422,17,31,10702,17031010702,532,106,216,28,38.28881145954316,34.37862950058072,1.0452961672473868,22.37708091366628,19.02826171118854,18.54432830042586,8.028673835125447,0.8710801393728222
Census Tract 201; Cook County; Illinois,4066,844,1597,183,1123,69850,705,597,83,159,163,0,94,17,68,27,2492,236,14,1439,17,31,20100,17031020100,242,163,111,95,39.27693064436793,27.619281849483524,4.500737825873094,20.75750122970979,17.338908017707823,14.682734874569602,9.470304975922954,0.3443187407771766
