NAME,TotalPop,White_NonHisp,Black,Asian,Hispanic,MedianIncome,BelowPoverty,BachelorsOrHigher,Male_Under18,Female_Under18,Male_18_34,Female_18_34,Male_35_64,Female_35_64,Male_65plus,Female_65plus,LaborForce,Unemployed,NoHealthInsurance,MedianRent,STATE,COUNTY,TRACT,TRACT_FIPS
Census Tract 101; Cook County; Illinois,3726,1297,1376,137,809,69460,508,775,88,41,52,141,128,46,108,56,2579,260,130,1252,17,031,010100,17031010100
Census Tract 102.01; Cook County; Illinois,7588,1406,2301,376,2622,49639,1892,684,455,353,43,62,161,317,143,119,4007,317,40,1333,17,031,010201,17031010201
Census Tract 102.02; Cook County; Illinois,2609,967,949,212,423,55119,524,656,9,32,48,0,43,90,24,31,1449,135,36,1292,17,031,010202,17031010202
Census Tract 103; Cook County; Illinois,6311,3094,1298,342,1426,65871,431,1585,148,25,33,35,53,179,26,84,3923,166,0,1257,17,031,010300,17031010300
Census Tract 104; Cook County; Illinois,4282,3173,296,324,340,49017,463,999,25,43,358,688,91,100,83,18,2282,78,16,1248,17,031,010400,17031010400
Census Tract 105.01; Cook County; Illinois,3519,2217,642,244,331,48250,392,1157,15,134,23,17,16,87,0,16,2576,191,0,1176,17,031,010501,17031010501
Census Tract 105.02; Cook County; Illinois,3329,2109,445,120,354,61367,608,770,36,34,27,112,93,228,0,15,2229,188,11,1311,17,031,010502,17031010502
Census Tract 105.03; Cook County; Illinois,2844,1788,509,299,85,21924,1335,350,32,47,0,50,193,224,127,57,1450,41,0,1122,17,031,010503,17031010503
Census Tract 106; Cook County; Illinois,6708,3638,1121,258,1272,71920,1163,1843,60,126,0,264,235,137,46,91,4253,115,41,1276,17,031,010600,17031010600
Census Tract 107.01; Cook County; Illinois,3573,1261,855,278,1036,74208,296,1047,29,161,73,26,32,43,2,48,2281,69,40,1338,17,031,010701,17031010701
Census Tract 107.02; Cook County; Illinois,5166,1156,1978,54,1776,58289,983,958,381,151,36,70,73,143,28,0,2790,224,45,1422,17,031,010702,17031010702
Census Tract 201; Cook County; Illinois,4066,844,1597,183,1123,69850,705,597,83,159,163,0,94,17,68,27,2492,236,14,1439,17,031,020100,17031020100
Census Tract 202; Cook County; Illinois,7231,3309,447,975,2099,115559,389,1119,463,291,81,19,112,51,70,136,3267,241,223,1432,17,031,020200,17031020200
Census Tract 203.01; Cook County; Illinois,4899,3976,97,449,214,76327,644,1166,170,246,25,37,7,31,119,18,2110,189,21,1341,17,031,020301,17031020301
